TIME,MAX CE 1,MAX CE 2,Σ ΔCE OI,MAX PE 1,MAX PE 2,Σ ΔPE OI,Δ (CE − PE),_is_live,timestamp_IST
17:30 - 18:00,2600:- 18617,2640:- 5448,433,2300:- 14121,2240:- 8023,382,51,False,18:25
18:00 - 18:21,2500:- 7205,2680:- 2831,165,2340:- 2307,2380:- 1951,39,126,False,18:25
18:21 - 18:36,2700:- 3743,2540:- 1832,60,2280:- 2600,2380:- 1331,42,18,False,18:25
18:36 - 18:57,2500:- 12622,2360:- 3898,268,2240:- 13132,2320:- 3047,178,90,False,18:25
18:57 - 19:14,2700:- 46777,2620:- 23087,803,2280:- 2383,2400:- 1899,-48,851,False,18:25
19:14 - 19:30,2620:- 4963,2660:- 3989,226,2280:- 12284,2340:- 2966,-226,452,False,18:25
19:30 - 19:49,2700:- 14597,2720:- 9001,288,2360:- 7936,2300:- 5181,-54,342,False,18:25
19:49 - 20:07,2400:- 7547,2600:- 5413,301,2340:- 2426,2460:- 0,-244,545,False,18:25
20:07 - 20:24,2640:- 12809,2680:- 10696,203,2360:- 365,2600:- 6,-858,1061,False,18:25
20:24 - 20:41,2380:- 4856,2800:- 4000,182,2300:- 4202,2260:- 3595,113,69,False,18:25
20:41 - 20:57,2320:- 6548,2620:- 6045,266,2440:- 42,2800:- 0,-400,666,False,18:25
20:57 - 21:19,2500:- 6242,2400:- 6185,505,2620:- 110,2720:- 0,-392,897,False,18:25
21:19 - 21:51,2520:- 8795,2820:- 7052,398,2280:- 4242,2300:- 1053,21,377,False,18:25
21:51 - 22:07,2640:- 70301,2400:- 19648,1023,2320:- 2967,2280:- 2667,31,992,False,18:25
22:07 - 22:23,2500:- 2902,2380:- 1101,-33,2240:- 49,2500:- 0,-79,46,False,18:25
22:23 - 22:53,2440:- 4598,2320:- 3356,-66,2300:- 8022,2260:- 2337,-20,-46,False,18:25
22:53 - 23:20,2600:- 8448,2680:- 4733,289,2260:- 4001,2340:- 988,-12,301,False,18:25
23:20 - 23:51,2580:- 77274,2500:- 48823,1556,2360:- 6422,2260:- 4201,-122,1678,False,18:25
